id,date,questions,answers
1,2010-10-01,742,1561
2,2010-10-02,400,783
3,2010-10-03,388,771
4,2010-10-04,762,1474
5,2010-10-05,821,1639
6,2010-10-06,876,1730
7,2010-10-07,854,1719
8,2010-10-08,793,1589
9,2010-10-09,327,641
10,2010-10-10,436,844
11,2010-10-11,780,1544
12,2010-10-12,863,1775
13,2010-10-13,883,1735
14,2010-10-14,911,1815
15,2010-10-15,785,1677
16,2010-10-16,423,889
17,2010-10-17,434,909
18,2010-10-18,825,1681
19,2010-10-19,892,1834
20,2010-10-20,913,1819
21,2010-10-21,942,1890
22,2010-10-22,851,1726
23,2010-10-23,488,994
24,2010-10-24,450,903
25,2010-10-25,848,1719
26,2010-10-26,897,1814
27,2010-10-27,953,1915
28,2010-10-28,907,1853
29,2010-10-29,830,1724
30,2010-10-30,468,944
31,2010-10-31,476,971
32,2010-11-01,825,1645
33,2010-11-02,879,1850
34,2010-11-03,934,1955
35,2010-11-04,938,1952
36,2010-11-05,831,1804
37,2010-11-06,492,994
38,2010-11-07,488,975
39,2010-11-08,893,1799
40,2010-11-09,1068,2171
41,2010-11-10,1003,2120
42,2010-11-11,1009,2069
43,2010-11-12,928,1975
44,2010-11-13,563,1125
45,2010-11-14,534,1099
46,2010-11-15,946,1967
47,2010-11-16,999,2110
48,2010-11-17,994,2126
49,2010-11-18,1050,2143
50,2010-11-19,948,2005
51,2010-11-20,563,1138
52,2010-11-21,570,1208
53,2010-11-22,1014,2165
54,2010-11-23,1078,2200
55,2010-11-24,1019,2174
56,2010-11-25,919,1852
57,2010-11-26,773,1621
58,2010-11-27,586,1180
59,2010-11-28,560,1213
60,2010-11-29,957,1966
61,2010-11-30,1057,2240
62,2010-12-01,1055,2197
63,2010-12-02,1094,2287
64,2010-12-03,989,2067
65,2010-12-04,601,1256
66,2010-12-05,616,1257
67,2010-12-06,1024,2106
68,2010-12-07,1093,2232
69,2010-12-08,1079,2217
70,2010-12-09,1082,2248
71,2010-12-10,1011,2081
72,2010-12-11,595,1239
73,2010-12-12,576,1192
74,2010-12-13,1022,2101
75,2010-12-14,1102,2275
76,2010-12-15,1087,2281
77,2010-12-16,1079,2191
78,2010-12-17,939,2004
79,2010-12-18,572,1210
80,2010-12-19,584,1205
81,2010-12-20,976,1980
82,2010-12-21,1021,2139
83,2010-12-22,1034,2112
84,2010-12-23,895,1897
85,2010-12-24,612,1271
86,2010-12-25,451,913
87,2010-12-26,479,969
88,2010-12-27,771,1546
89,2010-12-28,855,1739
90,2010-12-29,912,1863
91,2010-12-30,887,1858
92,2010-12-31,634,1350
93,2011-01-01,455,1011
94,2011-01-02,570,1235
95,2011-01-03,890,1898
96,2011-01-04,1067,2288
97,2011-01-05,1144,2381
98,2011-01-06,1144,2387
99,2011-01-07,1089,2262
100,2011-01-08,648,1362
101,2011-01-09,673,1453
102,2011-01-10,1119,2277
103,2011-01-11,1213,2471
104,2011-01-12,1226,2541
105,2011-01-13,1235,2516
106,2011-01-14,1115,2386
107,2011-01-15,677,1466
108,2011-01-16,721,1527
109,2011-01-17,1151,2326
110,2011-01-18,1208,2467
111,2011-01-19,1270,2604
112,2011-01-20,1293,2649
113,2011-01-21,1197,2473
114,2011-01-22,761,1572
115,2011-01-23,717,1533
116,2011-01-24,1222,2505
117,2011-01-25,1263,2594
118,2011-01-26,1228,2567
119,2011-01-27,1300,2629
120,2011-01-28,1194,2459
121,2011-01-29,738,1535
122,2011-01-30,742,1582
123,2011-01-31,1232,2521
124,2011-02-01,1278,2659
125,2011-02-02,1308,2710
126,2011-02-03,1326,2643
127,2011-02-04,1186,2536
128,2011-02-05,793,1627
129,2011-02-06,798,1650
130,2011-02-07,1256,2483
131,2011-02-08,1325,2627
132,2011-02-09,1352,2722
133,2011-02-10,1356,2735
134,2011-02-11,1264,2519
